id;type;content;options_labels;options_next;ai_fallback_prompt;ai_fallback_next;;;
inizio;text;"""Hey! Sei a Nova Gorica, giusto? \n\nDai fammi sapere che non vedo l'ora di sentirti!""";;domanda_stato;"""Se l'utente risponde con qualcosa che conferma la sua presenza o interesse, prosegui con 'domanda_stato'. Altrimenti chiedi gentilmente di rispondere con un sì.""";domanda_stato;;;
domanda_stato;text;"""Top! Come stai? Ti stai rilassando?""";;intro_tecnica;"""Se il tono è positivo, neutro o rilassato, continua con 'intro_tecnica'. Se è molto negativo, suggerisci comunque di andare avanti con curiosità.""";intro_tecnica;;;
intro_tecnica;text;"""Io ho una novità da paura! \n\nPer prima cosa... un pochino di cose tecniche! \n\nUseremo questa piattaforma per comunicare: ci aiuterà a condividere più velocemente le informazioni. \n\nE' facile da usare: praticamente scegli e clicchi. Prova, Capo!""";"""Ho capito"", ""Non chiamarmi """"Capo""""""";auricolari;"""Qualsiasi risposta va bene, prosegui con 'auricolari'""";auricolari;;;
auricolari;text;"""Hai gli auricolari? Mettili che ti mando un vocale! Mi raccomando: ascolta tutto con attenzione perchè sto per stupirti!""";;vocale_1;;vocale_1;;;
vocale_1;audio;vocale_1.wav;"""Vai!""";foto_branca;"""Qualsiasi curiosità sull'agenzia o il nome 'Branca Detective', manda la foto del vetro.""";foto_branca;;;
vocale_2;audio;vocale_2.wav;"""E come fai a saperlo?, """"Branca Detective""""?,Mai sentito.,Come il calciatore anni '90?""";vocale_2;;vocale_2;;;
foto_branca;image;branca_detective.png;"""Incredibile!"",""Che...bizzarra coincidenza!"",""Molto professionale…""";vocale_3;;vocale_3;;;
vocale_3;audio;vocale_3.wav;"""Manda""";rassegna;;rassegna;;;
rassegna;file;04-pregled-tiska-SL.pdf;"""Letto tutto"",""Cosa mi stai per chiedere?""";vocale_4;;vocale_4;;;
vocale_4;audio;vocale_4.wav;"""Chi è quella con lui?""";milli_info;;milli_info;;;
milli_info;text;"""Milena, la sua assistente, che lui chiamava Milli… O così mi sembra di intuire dai vari biglietti che ho trovato in giro per l'ufficio.""";"""Sembra sapere il fatto suo."",""Un tipo...pittoresco."",""Un tenente Colombo...da discount."",""Una faccia qualunque.""";voce_branca;;vocale_5;;;
vocale_5;audio;vocale_5.wav;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
